"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"1991","Baccalaureate/Liberal Arts I","Psychology","Male","1,160","."
"1991","Baccalaureate/Liberal Arts I","Economics","Female","1,342","."
"1991","Baccalaureate/Liberal Arts I","Economics","Male","2,304","."
"1991","Baccalaureate/Liberal Arts I","Political Science and Public Administration","Female","2,321","."
"1991","Baccalaureate/Liberal Arts I","Political Science and Public Administration","Male","2,493","."
"1991","Baccalaureate/Liberal Arts I","Sociology","Female","1,087","."
"1991","Baccalaureate/Liberal Arts I","Sociology","Male","426","."
"1991","Baccalaureate/Liberal Arts I","Anthropology","Female","433","."
"1991","Baccalaureate/Liberal Arts I","Anthropology","Male","139","."
"1991","Baccalaureate/Liberal Arts I","Linguistics","Female","15","."
"1991","Baccalaureate/Liberal Arts I","Linguistics","Male","4","."
"1991","Baccalaureate/Liberal Arts I","Area and Ethnic Studies","Female","700","."
"1991","Baccalaureate/Liberal Arts I","Area and Ethnic Studies","Male","352","."
"1991","Baccalaureate/Liberal Arts I","Other Social Sciences","Female","511","."
"1991","Baccalaureate/Liberal Arts I","Other Social Sciences","Male","442","."
"1991","Baccalaureate/Liberal Arts I","Science Technologies","Male","3","."
"1991","Baccalaureate/Liberal Arts I","Engineering Technologies","Male","1","."
"1991","Baccalaureate/Liberal Arts I","Health Technologies","Female","35","."
"1991","Baccalaureate/Liberal Arts I","Health Technologies","Male","8","."
"1991","Baccalaureate/Liberal Arts I","Interdisciplinary or Other Sciences","Female","191","."
"1991","Baccalaureate/Liberal Arts I","Interdisciplinary or Other Sciences","Male","137","."
"1991","Baccalaureate/Liberal Arts I","History","Female","1,389","."
"1991","Baccalaureate/Liberal Arts I","History","Male","2,020","."
"1991","Baccalaureate/Liberal Arts I","English and Literature","Female","3,969","."
"1991","Baccalaureate/Liberal Arts I","English and Literature","Male","1,908","."
"1991","Baccalaureate/Liberal Arts I","Foreign Languages","Female","1,557","."
"1991","Baccalaureate/Liberal Arts I","Foreign Languages","Male","528","."
"1991","Baccalaureate/Liberal Arts I","Other Humanities","Female","403","."
"1991","Baccalaureate/Liberal Arts I","Other Humanities","Male","629","."
"1991","Baccalaureate/Liberal Arts I","Religion and Theology","Female","357","."
"1991","Baccalaureate/Liberal Arts I","Religion and Theology","Male","300","."
"1991","Baccalaureate/Liberal Arts I","Arts and Music","Female","2,396","."
"1991","Baccalaureate/Liberal Arts I","Arts and Music","Male","1,065","."
"1991","Baccalaureate/Liberal Arts I","Architecture and Environmental Design","Female","35","."
"1991","Baccalaureate/Liberal Arts I","Science Education","Female","2","."
"1991","Baccalaureate/Liberal Arts I","Science Education","Male","3","."
"1991","Baccalaureate/Liberal Arts I","Mathematics Education","Female","5","."
"1991","Baccalaureate/Liberal Arts I","Mathematics Education","Male","2","."
"1991","Baccalaureate/Liberal Arts I","Social Science Education","Female","3","."
"1991","Baccalaureate/Liberal Arts I","Social Science Education","Male","4","."
"1991","Baccalaureate/Liberal Arts I","Other Science/Technical Education","Female","17","."
"1991","Baccalaureate/Liberal Arts I","Other Science/Technical Education","Male","14","."
"1991","Baccalaureate/Liberal Arts I","Non-Science Education","Female","1,667","."
"1991","Baccalaureate/Liberal Arts I","Non-Science Education","Male","406","."
"1991","Baccalaureate/Liberal Arts I","Business and Management","Female","2,701","."
"1991","Baccalaureate/Liberal Arts I","Business and Management","Male","3,681","."
"1991","Baccalaureate/Liberal Arts I","Communication and Librarianship","Female","650","."
"1991","Baccalaureate/Liberal Arts I","Communication and Librarianship","Male","317","."
"1991","Baccalaureate/Liberal Arts I","Law","Female","8","."
"1991","Baccalaureate/Liberal Arts I","Law","Male","5","."
"1991","Baccalaureate/Liberal Arts I","Social Service Professions","Female","203","."
"1991","Baccalaureate/Liberal Arts I","Social Service Professions","Male","27","."
"1991","Baccalaureate/Liberal Arts I","Vocational Studies and Home Economics","Female","107","."
"1991","Baccalaureate/Liberal Arts I","Vocational Studies and Home Economics","Male","24","."
"1991","Baccalaureate/Liberal Arts I","Other Non-sciences or Unknown Disciplines","Female","1,648","."
"1991","Baccalaureate/Liberal Arts I","Other Non-sciences or Unknown Disciplines","Male","853","."
"1991","Art, Music, and Design","Chemical Engineering","Female","2","."
"1991","Art, Music, and Design","Chemical Engineering","Male","1","."
"1991","Art, Music, and Design","Civil Engineering","Female","4","."
"1991","Art, Music, and Design","Civil Engineering","Male","21","."
"1991","Art, Music, and Design","Electrical Engineering","Female","5","."
"1991","Art, Music, and Design","Electrical Engineering","Male","70","."
"1991","Art, Music, and Design","Mechanical Engineering","Female","4","."
"1991","Art, Music, and Design","Mechanical Engineering","Male","12","."
"1991","Art, Music, and Design","Computer Science","Female","2","."
"1991","Art, Music, and Design","Computer Science","Male","5","."
"1991","Art, Music, and Design","Engineering Technologies","Female","128","."
"1991","Art, Music, and Design","Engineering Technologies","Male","132","."
"1991","Art, Music, and Design","Health Technologies","Female","2","."
"1991","Art, Music, and Design","Health Technologies","Male","2","."
"1991","Art, Music, and Design","Interdisciplinary or Other Sciences","Female","1","."
"1991","Art, Music, and Design","Interdisciplinary or Other Sciences","Male","2","."
"1991","Art, Music, and Design","Arts and Music","Female","2,634","."
"1991","Art, Music, and Design","Arts and Music","Male","2,211","."
"1991","Art, Music, and Design","Architecture and Environmental Design","Female","361","."
"1991","Art, Music, and Design","Architecture and Environmental Design","Male","325","."
"1991","Art, Music, and Design","Other Science/Technical Education","Female","10","."
"1991","Art, Music, and Design","Other Science/Technical Education","Male","4","."
"1991","Art, Music, and Design","Non-Science Education","Female","58","."
"1991","Art, Music, and Design","Non-Science Education","Male","52","."
"1991","Art, Music, and Design","Business and Management","Female","374","."
"1991","Art, Music, and Design","Business and Management","Male","38","."
"1991","Art, Music, and Design","Communication and Librarianship","Female","64","."
"1991","Art, Music, and Design","Communication and Librarianship","Male","67","."
"1991","Art, Music, and Design","Vocational Studies and Home Economics","Female","20","."
"1991","Art, Music, and Design","Other Non-sciences or Unknown Disciplines","Female","18","."
"1991","Art, Music, and Design","Other Non-sciences or Unknown Disciplines","Male","36","."
"1991","Associate of Arts/Two Year","Computer Science","Female","2","."
"1991","Associate of Arts/Two Year","Computer Science","Male","4","."
"1991","Associate of Arts/Two Year","Agricultural Sciences","Female","12","."
"1991","Associate of Arts/Two Year","Agricultural Sciences","Male","22","."
"1991","Associate of Arts/Two Year","Political Science and Public Administration","Female","2","."
"1991","Associate of Arts/Two Year","Political Science and Public Administration","Male","10","."
"1991","Associate of Arts/Two Year","Engineering Technologies","Female","16","."
"1991","Associate of Arts/Two Year","Engineering Technologies","Male","146","."
"1991","Associate of Arts/Two Year","Health Technologies","Female","2","."
"1991","Associate of Arts/Two Year","Religion and Theology","Female","12","."
"1991","Associate of Arts/Two Year","Religion and Theology","Male","40","."
"1991","Associate of Arts/Two Year","Arts and Music","Female","1","."
"1991","Associate of Arts/Two Year","Architecture and Environmental Design","Female","16","."
"1991","Associate of Arts/Two Year","Architecture and Environmental Design","Male","1","."
"1991","Associate of Arts/Two Year","Business and Management","Female","71","."
"1991","Associate of Arts/Two Year","Business and Management","Male","72","."
"1991","Associate of Arts/Two Year","Other Non-sciences or Unknown Disciplines","Female","44","."
"1991","Associate of Arts/Two Year","Other Non-sciences or Unknown Disciplines","Male","65","."
"1991","Not Classified","Aerospace Engineering","Male","17","."
"1991","Not Classified","Civil Engineering","Male","2","."
"1991","Not Classified","Electrical Engineering","Male","8","."
"1991","Not Classified","Mechanical Engineering","Male","14","."
"1991","Not Classified","Computer Science","Male","5","."
"1991","Not Classified","Engineering Technologies","Male","5","."
"1991","Not Classified","Health Technologies","Female","17","."
"1991","Not Classified","Health Technologies","Male","7","."
"1991","Not Classified","Religion and Theology","Female","13","."
"1991","Not Classified","Religion and Theology","Male","26","."
"1991","Not Classified","Arts and Music","Male","1","."
"1991","Not Classified","Non-Science Education","Female","17","."
"1991","Not Classified","Non-Science Education","Male","22","."
"1991","Not Classified","Business and Management","Female","21","."
"1991","Not Classified","Business and Management","Male","66","."
"1991","Not Classified","Other Non-sciences or Unknown Disciplines","Female","3","."
"1991","Not Classified","Other Non-sciences or Unknown Disciplines","Male","2","."
"1991","Business and Management","Electrical Engineering","Male","7","."
"1991","Business and Management","Mechanical Engineering","Female","1","."
"1991","Business and Management","Mechanical Engineering","Male","5","."
"1991","Business and Management","Other Engineering","Male","3","."
"1991","Business and Management","Mathematics and Statistics","Female","6","."
"1991","Business and Management","Mathematics and Statistics","Male","7","."
"1991","Business and Management","Computer Science","Female","337","."
"1991","Business and Management","Computer Science","Male","547","."
"1991","Business and Management","Biological Sciences","Male","3","."
"1991","Business and Management","Other Life Sciences","Female","71","."
"1991","Business and Management","Other Life Sciences","Male","5","."
"1991","Business and Management","Psychology","Female","25","."
"1991","Business and Management","Psychology","Male","12","."
"1991","Business and Management","Political Science and Public Administration","Female","5","."
"1991","Business and Management","Political Science and Public Administration","Male","3","."
"1991","Business and Management","Sociology","Female","1","."
"1991","Business and Management","Area and Ethnic Studies","Female","1","."
"1991","Business and Management","Area and Ethnic Studies","Male","3","."
"1991","Business and Management","Other Social Sciences","Female","1","."
"1991","Business and Management","Engineering Technologies","Female","12","."
"1991","Business and Management","Engineering Technologies","Male","137","."
"1991","Business and Management","History","Male","1","."
"1991","Business and Management","English and Literature","Female","5","."
"1991","Business and Management","Architecture and Environmental Design","Female","10","."
"1991","Business and Management","Non-Science Education","Female","123","."
"1991","Business and Management","Non-Science Education","Male","28","."
"1991","Business and Management","Business and Management","Female","4,621","."
"1991","Business and Management","Business and Management","Male","4,099","."
"1991","Business and Management","Communication and Librarianship","Female","113","."
"1991","Business and Management","Communication and Librarianship","Male","77","."
"1991","Business and Management","Law","Female","10","."
"1991","Business and Management","Law","Male","8","."
"1991","Business and Management","Social Service Professions","Female","97","."
"1991","Business and Management","Social Service Professions","Male","23","."
"1991","Business and Management","Vocational Studies and Home Economics","Female","97","."
"1991","Business and Management","Vocational Studies and Home Economics","Male","186","."
